	target_text	input_text	prefix
2250	How often does he see dogs and cats?	[Frequency] He had never had any pets before, but was always excited to see the other dogs and cats in his neighborhood.	ask_question
1075	How long were Zarco and Teixeira co-governors?	[Event Duration] Zarco and Teixeira were appointed co-go­vern­ors of Madeira, while Perestrelo was awarded Porto Santo.	ask_question
1721	How often are they required to appear?	[Frequency] The leaders of the Department of Homeland Security now appear before 88 committees and subcommittees of Congress.	ask_question
4675	When is the development stage projected to end?	[Typical Time] It is spending more than $500 million a year on semiconductor research and development.	ask_question
8784	How long do human operators monitor the systems?	[Event Duration] Human operators are there to monitor the systems, catch errors and fine-tune the production process for maximum efficiency.	ask_question
10914	How long was Hall in office?	[Event Duration] They also argued that Hall's litigious style hampered their ability to garner funds from Congress.	ask_question
5739	How long did she tell the story?	[Event Duration] She began to tell the story of Majestic, the wild horse who could not be calmed.	ask_question
3344	How long did it take the health initiatives to pass?	[Event Duration] The state has been first to pass major public health initiatives that have spread throughout the country.	ask_question
2713	How often does Joey play with his German Shepherd?	[Frequency] Joey spent the afternoon looking for his German Shepherd where they often played, like the field and forest.	ask_question
10318	When do the properties of matter change?	[Event Ordering] The properties of matter depend on the types of atoms that matter is made of.	ask_question
5642	How often did he repeat his claims?	"[Frequency] He claimed it was more important for Muslims to kill Americans than to kill other infidels."""	ask_question
1175	What time did Milton get married?	[Typical Time] Spontini, one of whose best operas was based on the life of that much mis-married enthusiast for divorce, John Milton, took to wife a member of the Erard family.	ask_question
10471	How often does the artist make paintings?	[Frequency] In one of the paintings, a character has been cut out and is instead sitting on the painting's frame, perhaps taking a break from posing?	ask_question
6331	How did Arthur become angry in the first place?	"[Event Ordering] No, of course not… I–  ""Then why,"" Arthur barreled on, ""do you disregard them all and return to this superstitious babble, this morbid, paganistic drivel?"	ask_question
3529	How long has Sarah dated Michael?	[Event Duration] Sarah is dating the curator Michael Pierce , a single father who is away from the museum that night .	ask_question
5067	How often are the baby shoes encased?	[Frequency] The instant would have been improved had my baby shoes been cleaned before they were encased.	ask_question
9119	For how long did the official meals last?	[Event Duration] The lightscreen provided had informed me when and where official meals were taking place, but I hadn't bothered to acknowledge the invitations.	ask_question
6073	What happens after an electronic theft occurs?	[Event Ordering] Electronic theft by foreign and industrial spies and disgruntled employees is costing U.S. companies billions and eroding their international competitive advantage.	ask_question
1917	For how long did Newman work for the company?	[Event Duration] Newman also has a $5.4 million long-term compensation package the company awarded him upon his appointment as CEO in March 2010, according to the SEC filing.	ask_question
1510	How long did the game of tag last?	[Event Duration] Tony and Ally like to play other games like hopscotch or jump rope but that day they joined the game of tag.	ask_question
1659	What did the defendants do after the charges were dismissed or they were found not guilty?	[Event Ordering] In 27 percent of the cases, the charges were dismissed or the defendant was found not guilty.	ask_question
9740	How long did he try to get money from those countries?	[Event Duration] But he told us that he could not drum up much interest in or money for such a purpose from Washington, partly, he thought, because these countries had dictatorial governments.	ask_question
12639	What happened after he left the pond?	[Event Ordering] He jumped into the pond and started swimming toward the ducks, chasing around his new playmates.	ask_question
7752	How old was King Zog when he founded RTSH?	[Typical Time] Radio Televizioni Shqiptar (RTSH) is the public radio and TV broadcaster of Albania, founded by King Zog in 1938.	ask_question
708	What time of the day did Tim seize the box?	[Typical Time] Tim knew if the bike was going to be in any of the presents it was going to be in this box.	ask_question
9773	How long was Bailey's award ceremony?	[Event Duration] Bailey received the award for his three years of volunteer work at Indiana Pro Bono Commission.	ask_question
2731	How often does the building host shows?	[Frequency] He filled three stories of the building with his art in 36 hours under tight security, as only a few museum staff were aware of the shows' imminent arrival.	ask_question
7465	How often does Hughes and Holly fight?	[Frequency] During the fight , Hughes and Holly find out that the diamond on Yonggary's forehead is the device giving the aliens control of Yonggary .	ask_question
1773	How long did it take for the red ball to roll over to the blue ball?	[Event Duration] The cute red ball rolled over to the blue ball and said hello.	ask_question
9297	How often does he move?	[Frequency] He loved spending time with him when he was younger, but he had moved last year.	ask_question
12339	Was the fortress built before the aftermath of Massaga and Ora?	[Stationarity] In the aftermath of Massaga and Ora, numerous Assakenians fled to the fortress of Aornos.	ask_question
10882	How often do the laws become standard practice in a state?	[Frequency] While these laws were met with skepticism and ridicule, they've often become standard practice in other states.	ask_question
6078	How long was Jud in church?	[Event Duration] Jud replies , `` Christ on His throne , no. .	ask_question
3880	How long did it take them to become friends?	[Event Duration] The two become close friends but do not reveal the secrets .	ask_question
389	How often does it rain in the summer?	[Frequency] Most of us have seen steam rising off a wet road after a summer rainstorm.	ask_question
11194	How often did the Byzantine empire document new cultural groups?	[Frequency] The Albanians first appear in the historical record in Byzantine sources of the late 11th century.	ask_question
11851	When did he get a law degree?	[Typical Time] After several years of private practice from 1982-90, he became the judge of Decatur County Court for a year.	ask_question
6372	After what point did the people try to break him?	[Event Ordering] His people had tried and tried to break him, but he was wild at heart.	ask_question
12431	How long does one strive to become someone else?	[Event Duration] The suggestion that you are some one else is the thing to strive for, not the concealment of who you really are.	ask_question
3602	How long did it take for the prints to sell?	"[Event Duration] At Christie's, a folio of 21 prints from Alfred Stieglitz's ""Equivalents"" series sold for $396,000, a single-lot record."	ask_question
9521	What day did they meet?	[Typical Time] Still , Preetam vows to marry Nandini if she meets him again .	ask_question
6157	How long did it take to make the statue?	[Event Duration] A statue, by James Earle Fraser, was dedicated on May 17, 1923, on the south terrace of the Treasury Building, in Washington.	ask_question
3521	What did Sarah do after finding that Michael was gone?	[Event Ordering] Sarah is dating the curator Michael Pierce , a single father who is away from the museum that night .	ask_question
12381	What happened after they robbed the train?	[Event Ordering] Charlie decides to rob the train with the help of imprisoned Don and con-artist Victor Braganza .	ask_question
4058	How long has Wallace lived in Athens?	[Event Duration] Wallace lives in Athens, W. Va., with her husband Rob, 37, and her daughters Rachel, 11, and Claire, 5.	ask_question
5653	How often does the Earth's crust break up into regions?	[Frequency] This led to the discovery that the Earths crust was broken up into regions, or plates.	ask_question
