context,question,category,answer
Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,How often does she need to contact Larry?,Frequency, once
Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,How long does it take to get the number?,Event Duration, 1 minute
Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,When did she need to contact Larry?,Typical Time, 12:00 PM
Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,What happens after she needs to contact Larry?,Event Ordering, she calls him
Eric and Rob are going to watch a stand-up on youtube.,How often do they watch a stand-up?,Frequency, once a week
Eric and Rob are going to watch a stand-up on youtube.,How long will the stand-up last?,Event Duration, 1 hour
Eric and Rob are going to watch a stand-up on youtube.,When did they watch the stand-up?,Typical Time, 8:00 PM
Eric and Rob are going to watch a stand-up on youtube.,What happens after they watch the stand-up?,Event Ordering, they go to bed
Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,How often does Lennny buy the trousers?,Frequency, once
Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,How long does Lennny's advice take?,Event Duration, 10 minutes
Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,When did Lennny buy the trousers?,Typical Time, 12:00 PM
Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,What happens after Lennny decides to buy the trousers that are best quality?,Event Ordering, lenny buys the trousers
Emma will be home soon and she will let Will know.,How long will Emma be home after she is home?,Event Duration, 1 hour
Emma will be home soon and she will let Will know.,When will Emma be home?,Typical Time, 1:00 PM
Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,How often do they meet?,Frequency, once a week
Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,How long will the lunches last?,Event Duration, 1 hour
Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,When did they meet for lunch?,Typical Time, 12:00 PM
Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,What happens after they meet?,Event Ordering, they go home
Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,How often do they meet?,Frequency, once a week
Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,When will they be meeting the French people?,Typical Time, 2:00 PM
Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,What happens after they leave the conference hall?,Event Ordering, they go to the bar
Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,Is the meeting at the conference hall tomorrow?,Stationarity, no
Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,How often does Payton buy clothes?,Frequency, once a month
Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,How long does Payton like to browse the clothes?,Event Duration, 10 minutes
Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,When does Payton buy the clothes?,Typical Time, 1:00 PM
Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,What happens after he buys the clothes?,Event Ordering, he wears them
Rita and Tina are bored at work and have still 4 hours left.,How often are Rita and Tina bored at work?,Frequency, once a week
Rita and Tina are bored at work and have still 4 hours left.,How long is Rita and Tina bored at work?,Event Duration, 4 hours
Rita and Tina are bored at work and have still 4 hours left.,When did Rita and Tina go to work?,Typical Time, 9:00 AM
Rita and Tina are bored at work and have still 4 hours left.,What happens after they are bored at work?,Event Ordering, they go home
Rita and Tina are bored at work and have still 4 hours left.,Are Rita and Tina still bored at work?,Stationarity, no
"Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.",How often does he buy a scarf?,Frequency, once a year
"Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.",How long does it take to buy a scarf?,Event Duration, 10 minutes
"Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.",When did he buy the scarf?,Typical Time, 12:00 PM
"Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.",What happens after he buys a scarf?,Event Ordering, he wears it
Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,How often does Ivan talk to the people?,Frequency, every day
Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,How long will Ivan talk to the parents?,Event Duration, 10 minutes
Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,When did Ivan go to the wedding?,Typical Time, 12:00 PM
Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,What happens after Ivan is at the wedding?,Event Ordering, he gets to know the bride
Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,Is Ivan still talking to the parents after the wedding?,Stationarity, no
Wanda wants to throw a party. She asks Gina to borrow her father's car and go do groceries together. They set the date for Friday.,How often do they go to the grocery store?,Frequency, once a week
Wanda wants to throw a party. She asks Gina to borrow her father's car and go do groceries together. They set the date for Friday.,How long will the party last?,Event Duration, 3 hours
Wanda wants to throw a party. She asks Gina to borrow her father's car and go do groceries together. They set the date for Friday.,When did the party?,Typical Time, 10:00 PM
Wanda wants to throw a party. She asks Gina to borrow her father's car and go do groceries together. They set the date for Friday.,What happens after the party?,Event Ordering, they go home
Martin wrote a short review and won 2 cinema tickets on FB. Martin wants Aggie to go with him this week for the new film with Redford.,How many times a week does Martin go to cinema?,Frequency, once
Martin wrote a short review and won 2 cinema tickets on FB. Martin wants Aggie to go with him this week for the new film with Redford.,When did Martin go to the cinema?,Typical Time, 1:00 PM
Martin wrote a short review and won 2 cinema tickets on FB. Martin wants Aggie to go with him this week for the new film with Redford.,What happens after Martin and Redford go to the cinema?,Event Ordering, they have a good time
Charlee is attending Portuguese theater as a subject at university. He and other students are preparing a play by Mrożek translated into Portuguese.,How often are the students at the university?,Frequency, every day
Charlee is attending Portuguese theater as a subject at university. He and other students are preparing a play by Mrożek translated into Portuguese.,How long is the play?,Event Duration, 2 hours
Charlee is attending Portuguese theater as a subject at university. He and other students are preparing a play by Mrożek translated into Portuguese.,When did the play begin?,Typical Time, 7:00 PM
Charlee is attending Portuguese theater as a subject at university. He and other students are preparing a play by Mrożek translated into Portuguese.,What happens after the students prepare the play?,Event Ordering, they perform it
"Ella rented a car, this makes things much faster for her and Tom.",How often does Ella rent a car?,Frequency, once a year
"Ella rented a car, this makes things much faster for her and Tom.",How long did it take to rent a car?,Event Duration, 15 minutes
"Ella rented a car, this makes things much faster for her and Tom.",When did they rent the car?,Typical Time, 12:00 PM
"Ella rented a car, this makes things much faster for her and Tom.",What did they do after the car was rented?,Event Ordering, they drove to their destination
Paul is going to share his Netflix account with Luke. In exchange Luke is going to contribute to the subscription. Paul will send Luke his bank details. Paul is on vacation with his girlfriend till tomorrow.,How often does Paul go to the bank?,Frequency, once a week
Paul is going to share his Netflix account with Luke. In exchange Luke is going to contribute to the subscription. Paul will send Luke his bank details. Paul is on vacation with his girlfriend till tomorrow.,How long is Paul's vacation?,Event Duration, 3 days
Paul is going to share his Netflix account with Luke. In exchange Luke is going to contribute to the subscription. Paul will send Luke his bank details. Paul is on vacation with his girlfriend till tomorrow.,When did Paul go to the bank?,Typical Time, 12:00 PM
Paul is going to share his Netflix account with Luke. In exchange Luke is going to contribute to the subscription. Paul will send Luke his bank details. Paul is on vacation with his girlfriend till tomorrow.,What happened after Paul was on vacation?,Event Ordering, he went home
"Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten. However, it's Greg's turn to do it. Greg will try to find a solution.",How often does Greg and Betsy go to work?,Frequency, every day
"Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten. However, it's Greg's turn to do it. Greg will try to find a solution.",How long will it take to get to the kindergarten?,Event Duration, 15 minutes
"Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten. However, it's Greg's turn to do it. Greg will try to find a solution.",When did they go to work?,Typical Time, 10:00 AM
"Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten. However, it's Greg's turn to do it. Greg will try to find a solution.",What happens after they leave the kindergarten?,Event Ordering, they go home
"Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten. However, it's Greg's turn to do it. Greg will try to find a solution.",Is Greg still at the kindergarten tomorrow?,Stationarity, no
"Ethan, Toby and Marshall are making fun of Scott.",How often do they make fun of each other?,Frequency, every day
"Ethan, Toby and Marshall are making fun of Scott.",How long does it take to make fun of Scott?,Event Duration, 1 minute
"Ethan, Toby and Marshall are making fun of Scott.",When did they make fun of Scott?,Typical Time, 12:00 PM
"Ethan, Toby and Marshall are making fun of Scott.",What did they do after making fun of Scott?,Event Ordering, they went home
Igor has a lot of work on his notice period and he feels demotivated. John thinks he should do what he has to do nevertheless.,How many times a week does John think about this?,Frequency, once
Igor has a lot of work on his notice period and he feels demotivated. John thinks he should do what he has to do nevertheless.,How long does he feel demotivated?,Event Duration, 2 weeks
Igor has a lot of work on his notice period and he feels demotivated. John thinks he should do what he has to do nevertheless.,When did he start work?,Typical Time, 10:00 AM
Igor has a lot of work on his notice period and he feels demotivated. John thinks he should do what he has to do nevertheless.,What happens after he is demotivated?,Event Ordering, he gets depressed
Igor has a lot of work on his notice period and he feels demotivated. John thinks he should do what he has to do nevertheless.,Is John still feeling demotivated after he is done with work?,Stationarity, no
Clara is rewatching Dear White People and strongly recommends it to Neela.,How often does Clara recommend Dear White People?,Frequency, once
Clara is rewatching Dear White People and strongly recommends it to Neela.,How long does it take to rewatch Dear White People?,Event Duration, 1 hour
Clara is rewatching Dear White People and strongly recommends it to Neela.,When did Neela buy the book?,Typical Time, 1990
Clara is rewatching Dear White People and strongly recommends it to Neela.,What happened after Clara rewatching Dear White People?,Event Ordering, she recommended it to neela
Mike took his car into garage today. Ernest is relieved as someone had just crashed into a red Honda which looks like Mike's.,How many times a week does Mike take his car to the garage?,Frequency, once
Mike took his car into garage today. Ernest is relieved as someone had just crashed into a red Honda which looks like Mike's.,How long did the crash into the red Honda take?,Event Duration, 10 minutes
Mike took his car into garage today. Ernest is relieved as someone had just crashed into a red Honda which looks like Mike's.,When did someone crash into the red Honda?,Typical Time, 12:00 PM
Mike took his car into garage today. Ernest is relieved as someone had just crashed into a red Honda which looks like Mike's.,What did they do after the crash into the red Honda?,Event Ordering, they called the police
Mike took his car into garage today. Ernest is relieved as someone had just crashed into a red Honda which looks like Mike's.,Is Mike's car still in the garage tomorrow?,Stationarity, no
Beth wants to organize a girls weekend to celebrate her mother's 40th birthday. She also wants to work at Deidre's beauty salon. Deidre offers her a few hours on Saturdays as work experience. They set up for a meeting tomorrow.,How often does she go to work?,Frequency, once a week
Beth wants to organize a girls weekend to celebrate her mother's 40th birthday. She also wants to work at Deidre's beauty salon. Deidre offers her a few hours on Saturdays as work experience. They set up for a meeting tomorrow.,How long will the meeting last?,Event Duration, 1 hour
Beth wants to organize a girls weekend to celebrate her mother's 40th birthday. She also wants to work at Deidre's beauty salon. Deidre offers her a few hours on Saturdays as work experience. They set up for a meeting tomorrow.,When did she go to work?,Typical Time, 10:00 AM
